"many_labs_version","rep_org","title","measure_name","variable_name","multi","appearance","N","N_items","hypothesis_support","reliability_type","reliability_coeff","def1","op_version","op_1","op_2","op_3","op_4","op_5","sel_existing","sel_existing_text","sel_1","sel_2","sel_3","sel_4","sel_psychometric_evidence","quant_1","quant_2","quant_3","quant_4","mod_check","mod_1","mod_2","mod_3","mod_4","mod_5","mod_6","mod_time","op_1_REV","op_2_REV","op_5_REV","sel_1_REV","sel_3_REV","sel_psychometric_evidence_REV","sel_psychometric_evidence_text_REV","quant_1_REV","quant_2_REV","quant_3_REV","mod_check_REV","mod_1_REV","mod_2_REV","mod_3_REV","mod_4_REV","mod_5_REV","mod_6_REV","inseperable_material","def_count","def_total","def_ratio","op_count","op_total","op_ratio","sel_count","sel_total","sel_ratio","quant_count","quant_total","quant_ratio","mod_count","mod_total","mod_ratio","MP_total","MP_count","QMP_ratio","op_REV_count","op_REV_total","op_REV_ratio","sel_REV_count","sel_REV_total","sel_REV_ratio","quant_REV_count","quant_REV_total","quant_REV_ratio","mod_REV_count","mod_REV_total","mod_REV_ratio","MP_REV_count","MP_REV_total","QMP_REV_ratio"
"2","Replication","LIBERALS AND CONSERVATIVES RELY ON DIFFERENT SETS OF MORAL FOUNDATIONS (Graham, Haidt, & Nosek, 2009, Study 1)","moral foundation questionnaire","individualizing moral foundations","True","1",6966,"multiple item measure",TRUE,"Not Reported",NA,FALSE,"",FALSE,TRUE,TRUE,TRUE,FALSE,"True, namely:","moral foundations questionnaire used in Graham, Haidt, & Nosek, 2009, Study 1",FALSE,TRUE,FALSE,FALSE,"None",TRUE,TRUE,FALSE,FALSE,"True",FALSE,NA,FALSE,FALSE,TRUE,TRUE,"Before",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,TRUE,FALSE,"True",NA,NA,TRUE,TRUE,NA,NA,"False",0,1,1,3,5,0.4,1,4,0.75,2,4,0.5,2,5,0.6,19,8,0.577875324675325,5,5,0,2,4,0.5,2,4,0.5,2,2,0,11,16,0.314935064935065
"2","Replication","LIBERALS AND CONSERVATIVES RELY ON DIFFERENT SETS OF MORAL FOUNDATIONS (Graham, Haidt, & Nosek, 2009, Study 1)","moral foundation questionnaire","binding moral foundations","True","2",6966,"multiple item measure",TRUE,"Not Reported",NA,FALSE,"",FALSE,TRUE,TRUE,TRUE,FALSE,"True, namely:","moral foundations questionnaire used in Graham, Haidt, & Nosek, 2009, Study 1",FALSE,TRUE,FALSE,FALSE,"None",TRUE,TRUE,FALSE,FALSE,"True",FALSE,NA,FALSE,FALSE,TRUE,TRUE,"Before",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,TRUE,FALSE,"True",NA,NA,TRUE,TRUE,NA,NA,"False",0,1,1,3,5,0.4,1,4,0.75,2,4,0.5,2,5,0.6,19,8,0.577875324675325,5,5,0,2,4,0.5,2,4,0.5,2,2,0,11,16,0.314935064935065
"2","Replication","MONEY, KISSES, AND ELECTRIC SHOCKS: ON THE AFFECTIVE PSYCHOLOGY OF RISK (Rottenstreich & Hsee, 2001, Study 1)","kiss or cash choice with or without uncertainty","positive affect's effect on judgement","False","1",7218,"1 item measure",FALSE,"",NA,FALSE,"",TRUE,TRUE,TRUE,TRUE,TRUE,"True, namely:","affective vs. economic choice with or without uncertainty set of questions from Rottenstreich & Hsee, 2001, Study 1",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False",0,1,1,5,5,0,2,2,0,2,2,0,0,0,NA,10,9,0.105194805194805,5,5,0,2,2,0,2,2,0,0,0,NA,9,10,0.105194805194805
"2","Replication","PERSONAL AND SOCIAL WELL-BEING (Bauer, Wilkie, Kim & Bodenhausen, 2012, Study 4)","drought water consumption problem with trust questionnaire from Bauer and colleagues (2012)  ","social trust","False","1",6608,"1 item measure",TRUE,"",NA,FALSE,"",TRUE,TRUE,TRUE,TRUE,TRUE,"True, namely:","drought water reduction trust scenario from Bauer and colleagues (2012) ",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True",0,1,1,5,5,0,2,2,0,2,2,0,0,0,NA,10,9,0.105194805194805,5,5,0,2,2,0,2,2,0,0,0,NA,9,10,0.105194805194805
"2","Replication","CULTURAL VARIATION IN CORRESPONDENCE BIAS: THE CRITICAL ROLE OF ATTITUDE DIAGNOSTICITY OF SOCIALLY CONSTRAINED BEHAVIOR (Miyamoto & Kitayama, 2002, Study 1)","question of an essay's writer's true attitude towards capital punishment from Miyamoto and Kitayama (2002)","attributed true attitude","True","1",7197,"1 item measure",TRUE,"",NA,TRUE,"",FALSE,TRUE,TRUE,TRUE,TRUE,"True, namely:","question of an essay's writer's true attitude towards capital punishment from Miyamoto and Kitayama (2002)",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"True",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",NA,NA,TRUE,TRUE,NA,NA,"True",1,1,0,4,5,0.2,2,2,0,2,2,0,4,6,0.3333,16,13,0.191558441558442,5,5,0,2,2,0,2,2,0,2,2,0,12,12,0.00649350649350649
"2","Replication","DISGUST SENSITIVITY PREDICTS INTUITIVE DISAPPROVAL OF GAYS (Inbar, Pizarro, Knobe & Bloom, 2009, Study 1) ","assessments of the director’s intentionality in both the gay kissing and kissing conditions from Inbar, Pizarro, Knobe & Bloom, 2009, Study 1","director’s intentionality","False","1",7117,"1 item measure",TRUE,"",NA,FALSE,"",TRUE,TRUE,TRUE,TRUE,TRUE,"True, namely:","assessments of the director’s intentionality in both the gay kissing and kissing conditions from Inbar, Pizarro, Knobe & Bloom, 2009, Study 1",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"False",NA,NA,NA,NA,NA,NA,"",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"True",0,1,1,5,5,0,2,2,0,2,2,0,0,0,NA,10,9,0.105194805194805,5,5,0,2,2,0,2,2,0,0,0,NA,9,10,0.105194805194805
"2","Replication","DISGUST SENSITIVITY PREDICTS INTUITIVE DISAPPROVAL OF GAYS (Inbar, Pizarro, Knobe & Bloom, 2009, Study 1) ","5-item contamination subscale","disgust sensitivity","False","2",7117,"multiple item measure",TRUE,"Not Reported",NA,FALSE,"",TRUE,TRUE,TRUE,TRUE,FALSE,"True, namely:","5-item contamination subscale",FALSE,TRUE,FALSE,FALSE,"None",TRUE,FALSE,FALSE,FALSE,"True",NA,NA,FALSE,NA,TRUE,FALSE,"Before",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,FALSE,FALSE,"True",NA,NA,NA,NA,TRUE,FALSE,"False",0,1,1,4,5,0.2,1,4,0.75,1,4,0.75,1,3,0.6667,17,7,0.587054545454545,5,5,0,2,4,0.5,1,4,0.75,1,2,0.5,9,16,0.438311688311688
"2","Replication"," INCIDENTAL ENVIRONMENTAL ANCHORS (Critcher & Gilovich, 2008, Study 2)","estimated percentage of phone sales from foreign market to new question from n Critcher and Gilovich (2008)","effect of incidental anchors on rating","False","1",6286,"1 item measure",FALSE,"",NA,TRUE,"",FALSE,TRUE,TRUE,TRUE,FALSE,"True, namely:","estimated percentage of phone sales from foreign market to new question from n Critcher and Gilovich (2008)",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,TRUE,NA,NA,"True",TRUE,FALSE,FALSE,NA,NA,NA,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",TRUE,TRUE,TRUE,TRUE,NA,NA,"True",1,1,0,3,5,0.4,2,2,0,2,2,0,1,3,0.6667,13,9,0.310197402597403,5,5,0,2,2,0,2,2,0,4,4,0,14,14,0.00649350649350649
"2","Replication","DEVELOPMENT OF PROSOCIAL, INDIVIDUALISTIC, AND COMPETITIVE ORIENTATIONS: THEORY AND PRELIMINARY EVIDENCE (Van Lange, Otten, De Bruin & Joireman, 1997, Study 3)","SVO slider measure","Social Value Orientation","False","1",6234,"multiple item measure",FALSE,"Not Reported",NA,FALSE,"SVO slider measure from Murphy, Ackermann, & Handgraaf, 2011",TRUE,TRUE,TRUE,TRUE,FALSE,"True, namely:","SVO Slider measure from Murphy, Ackermann, & Handgraaf, 2011",TRUE,TRUE,FALSE,TRUE,"None",TRUE,NA,FALSE,TRUE,"True",TRUE,FALSE,FALSE,NA,TRUE,TRUE,"Before",TRUE,TRUE,TRUE,TRUE,FALSE,"None","",TRUE,FALSE,NA,"True",NA,NA,NA,NA,TRUE,TRUE,"True",0,1,1,4,5,0.2,3,4,0.25,2,3,0.3333,3,5,0.4,18,12,0.335464935064935,5,5,0,3,4,0.25,2,3,0.3333,2,2,0,12,15,0.203896103896104
"2","Replication","DEVELOPMENT OF PROSOCIAL, INDIVIDUALISTIC, AND COMPETITIVE ORIENTATIONS: THEORY AND PRELIMINARY EVIDENCE (Van Lange, Otten, De Bruin & Joireman, 1997, Study 3)","number of siblings question","number of siblings","False","2",6234,"1 item measure",FALSE,"",NA,NA,"",FALSE,TRUE,TRUE,TRUE,NA,"Not Clearly Stated","",FALSE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,NA,NA,TRUE,"True",NA,NA,FALSE,NA,FALSE,NA,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"False",NA,NA,NA,NA,NA,NA,"False",0,0,0,3,4,0.25,1,2,0.5,2,2,0,0,2,1,10,6,0.401298701298701,5,5,0,2,2,0,3,3,0,0,0,NA,10,10,0.00649350649350649
"2","Replication","A DISSOCIATION BETWEEN MORAL JUDGMENTS AND JUSTIFICATIONS (Hauser, Cushman, Young, Kang-Xing & Mikhail, et al., 2007, Scenarios 1+2)","two train moral dillemas from Hauser, Cushman, Young, Kang-Xing & Mikhail, et al., 2007, Scenarios 1+2","double effect","False","1",6842,"1 item measure",TRUE,"",NA,TRUE,"",TRUE,TRUE,TRUE,TRUE,TRUE,"True, namely:","two train moral dillemas from Hauser, Cushman, Young, Kang-Xing & Mikhail, et al., 2007, Scenarios 1+2",TRUE,TRUE,NA,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)",TRUE,NA,NA,FALSE,"True",TRUE,FALSE,FALSE,NA,TRUE,FALSE,"Before",TRUE,TRUE,TRUE,TRUE,NA,"Not Apllicable (only report this if psychometric evidence would not be possible for this measure, otherwise report as None)","",TRUE,TRUE,NA,"True",NA,NA,NA,NA,TRUE,TRUE,"True",1,1,0,5,5,0,2,2,0,1,2,0.5,2,5,0.6,15,11,0.26972987012987,5,5,0,2,2,0,2,3,0.3333,2,2,0,12,13,0.0823948051948052
