"X","Site","ID",".id","Condition","uniqueID",".id_exclusiondata","Site_exclusiondata","ID_exclusiondata","SuspicionText","Exclusion","Gender","Age","Edu_highest","Edu_current","Edu_subject","Version","Comment","Misc.Notes..when.applicable.",".id_cheatdata","fileID","block1","block2","EssayTime_.sec.","Happiness","Sadness","Euphoria","Disgust","Pleasure","Joy","Anger","Fear","Admiration","Love","Remorse","Guilt","Hope","Shame","Resentment","Tenderness",".id_cheatdata_cheatdata","fileID_cheatdata","block1_cheatdata","block2_cheatdata","CONDuniqueID","Protocol","Cheating","FWD1","FWD2","FWD3","FWD4","FWD5","FWD6","FWD7","FWD8","FWD9","FWD10","FWD11","FWD12","FWD13","FWD14","FWD15","FWD16","FWD17","FWD18","FWD19","FWD20","FWD21","FWD22","FWD23","FWD24","FWD25","FWD26","FWD27","FWD28","FAD1","FAD2","FAD3","FAD4","FAD5","FAD6","FAD7","FAD8","FAD9","FAD10","FAD11","FAD12","FAD13","FAD14","FAD15","FAD16","FAD17","FAD18","FAD19","FAD20","FAD21","FAD22","FAD23","FAD24","FAD25","FAD26","FAD27","FWD","FAD","PosAff","NegAff","FreeWill","Coder.1","Coder.2","Final.Code"
11,"Basel",108,"Basel","Control","Basel_108","Basel","Basel",108,"-kein Kommentar-",0,"Male",25,"Bachelor","Yes","Psychology","","","","Basel","1507797103182_VPN108.csv",0,3,NA,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,"Basel","1507797103182_VPN108.csv",0,3,"ML5_Basel_108","ML5",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,3,1,1,5,4,1,2,2,4,3,2,2,5,2,3,2,4,4,4,2,4,3,2,2,NA,24,12,8,0.141985648454064,0,0,0
12,"Basel",109,"Basel","Anti","Basel_109","Basel","Basel",109,"Ich denke, das Schreiben solllte mich beeinflussen. Ich sollte womöglich weweniger davon überzeugt sein einen Freien Willen zu haben. Danach kamen Matherechnungen. Natürlich ist das Programm nicht kaputt. Ich sollte aber den Befehlen der Versuchsleiterin folgen und tatsächlich berechnen. Ich hätte ja auch jedes Mal spicken können. ",1,"Female",22,"Matura","Yes","Psychology","","","","Basel","1507800818965_VPN109.csv",1,3,NA,3,1,1,1,3,3,1,1,4,2,2,1,4,1,1,1,"Basel","1507800818965_VPN109.csv",1,3,"ML5_Basel_109","ML5",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,3,1,1,5,3,4,2,3,3,1,4,3,3,4,4,4,4,3,2,4,3,3,2,4,NA,21,21,9,-0.503575766517079,0,0,0
13,"Basel",11,"Basel","Anti","Basel_11","Basel","Basel",11,"Nein. Bei den Rechenaufgaben evtl. wie wir Menschen noch mit Kopfrechnen umgehen können und wie viel weniger effizienten als Machinen sind (es wurde ja die Zeit gestoppt). Bei den Umformulierungen, wie besser wir es als Menschen machen und um zu schauen, ob die Machine beide Versionen annimmt. ",0,"Female",21,"Matura","Yes","Psychology","","","","Basel","1489672363840_VPN011.csv",6,10,NA,2,2,1,2,2,2,1,1,3,1,1,1,2,1,3,1,"Basel","1489672363840_VPN011.csv",6,10,"ML5_Basel_11","ML5",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,2,2,4,3,3,3,3,4,2,3,3,2,2,4,4,4,1,2,3,3,2,4,4,NA,19,14,12,-0.933950043164507,0,0,0
14,"Basel",110,"Basel","Anti","Basel_110","Basel","Basel",110,"Wie lange verzichtet man auf eingeblendete Lösungen nach Misserfolg",1,"Male",28,"Matura","Yes","Psychology","","","","","",NA,NA,270,3,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,"Basel","1508398069085_VPN110.csv",1,1,"df.RPP_Basel_110","RPP",2,5,3,2,5,4,1,1,2,5,2,2,5,1,3,3,1,3,1,1,3,5,3,3,4,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,14,8,1.40719521955711,1,1,1
15,"Basel",111,"Basel","Control","Basel_111","Basel","Basel",111,"Darum, wie schnell man bei Kopfrechnungen den Verstand verliert :)",0,"Male",39,"M.A.","Yes","Psychology","","","","","",NA,NA,413,3,2,1,1,3,3,1,1,1,2,1,1,3,1,2,3,"Basel","1508402294026_VPN111.csv",1,6,"df.RPP_Basel_111","RPP",7,5,2,2,4,4,2,4,3,3,4,4,5,2,4,2,2,5,1,1,4,3,3,2,2,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,19,10,2.02542372997316,1,1,1
16,"Basel",112,"Basel","Control","Basel_112","Basel","Basel",112,"Durch die jetzigen Emotionen Bedingter Einfluss auf lesen und Umwandlung der Textabschnitte. Bracuh von anderen Wörter, etc...",0,"Female",26,"Matura","Yes","Psychology","","","","Basel","1508405613880_VPN112.csv",10,10,NA,3,3,1,1,3,3,4,2,3,3,4,4,3,3,3,4,"Basel","1508405613880_VPN112.csv",10,10,"ML5_Basel_112","ML5",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,5,2,1,5,5,4,3,2,4,1,4,2,5,1,2,4,4,5,4,4,4,1,5,1,NA,33,23,24,2.07866989336749,0,0,0
17,"Basel",113,"Basel","Control","Basel_113","Basel","Basel",113,"Die Zahl wurde beim Teil 2 viel früher gezeigt. Ich dachte es war kein Programmierfehler war der Zahl. Ich denke es geht in Richtung Erlichkeit und Motivation in abt. der Einstellungen",0,"Female",19,"Matura","Yes","Psychology","","","","Basel","1508412377547_VPN113.csv",8,10,NA,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,"Basel","1508412377547_VPN113.csv",8,10,"ML5_Basel_113","ML5",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,1,2,2,4,1,3,1,1,2,4,2,3,1,4,3,4,2,3,2,5,4,4,2,NA,18,10,9,-1.14913718148822,0,0,0
18,"Basel",114,"Basel","Control","Basel_114","Basel","Basel",114,"-kein Kommentar-",0,"Female",24,"Matura","Yes","Psychology","","","","","",NA,NA,240,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,"Basel","1508415674994_VPN114.csv",1,0,"df.RPP_Basel_114","RPP",1,5,5,3,3,5,2,2,2,2,4,4,2,1,4,4,3,5,2,3,5,4,2,3,3,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,12,8,0.17073819872501,1,1,1
19,"Basel",115,"Basel","Anti","Basel_115","Basel","Basel",115,"Wie sehr man sich von einem Text eines intelligenten und berühmten Menschen beeinflussen lassen kann",0,"Female",25,"Matura","Yes","Psychology","","","","","",NA,NA,431,4,2,2,1,3,4,1,1,4,3,2,2,4,1,1,3,"Basel","1508419356596_VPN115.csv",0,2,"df.RPP_Basel_115","RPP",2,4,2,4,5,5,2,3,2,2,3,4,4,3,2,4,1,4,2,2,3,2,2,4,5,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,27,11,0.479852453933035,0,0,0
20,"Basel",116,"Basel","Anti","Basel_116","Basel","Basel",116,"Zwischen den ersten zwei Aufgaben gab es für mich einen Zusammenhang. Im Text ging es ja um den freien Willen und dass dieser doch deutlich unfrei ist. Beim Ausfüllen des FBs ging es dann z.B. darum es jemand verantwortlich ist für seine Entscheidung, inwiefern etwas voraus determiniert ist z.B. Verhalten/Erfolg durch Genetik. Die Rechenaufgabe ergab für mich keinen Zusammenhang. Mir ist nichts ungewöhnliches Aufgefallen",0,"Female",39,"Master","Yes","Psychology","","","","","",NA,NA,507,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,"Basel","1508423746939_VPN116.csv",10,10,"df.RPP_Basel_116","RPP",20,5,4,3,4,3,1,2,2,3,4,3,3,2,4,2,1,4,5,3,3,4,2,3,4,3,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,9,10,0.479852453933035,0,0,0
21,"Basel",117,"Basel","Anti","Basel_117","Basel","Basel",117,"Konzentrationsübung?",0,"Female",23,"Bachelor","Yes","Psychology","","","","Basel","1508935278340_VPN117.csv",2,10,NA,4,1,1,1,3,4,1,1,1,2,1,1,3,1,1,1,"Basel","1508935278340_VPN117.csv",2,10,"ML5_Basel_117","ML5",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,3,1,2,3,3,3,2,4,3,3,3,3,2,2,2,4,4,4,3,4,3,2,5,NA,21,19,8,-0.503575766517079,0,0,0
22,"Basel",118,"Basel","Anti","Basel_118","Basel","Basel",118,"Die Rechnungen waren meist so, dass etwas aufwändiger gerechnet werden musste. (z.B. 37-18, statt 37-15) Warum es geht ist wahrscheinlich zu schauen, bei welchen Satztypen/Rechnungstypen die Probanden länger brauchen.",0,"Male",21,"Matura","Yes","Psychology","","","","Basel","1508938629486_VPN118.csv",0,0,NA,4,1,3,1,2,4,1,2,2,4,2,1,3,1,1,3,"Basel","1508938629486_VPN118.csv",0,0,"ML5_Basel_118","ML5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,1,2,5,4,1,3,5,4,2,2,2,4,2,2,3,2,4,2,4,4,4,4,5,NA,27,25,10,0.787547063425206,0,0,0
23,"Basel",119,"Basel","Control","Basel_119","Basel","Basel",119,"Der Zusammenhang zwischen der Meinung selbst für ein Outcome verantwortlich zu sein und die Häufigkeit mit der das Matheresultat angeschaut wurde (Programm absichtlich so programmiert, dass Resultat angeschaut werden kann)",1,"Female",25,"Matura","Yes","Psychology","","","","Basel","1509008482947_VPN119.csv",0,3,NA,2,1,1,1,1,2,1,1,2,2,3,1,2,1,1,3,"Basel","1509008482947_VPN119.csv",0,3,"ML5_Basel_119","ML5",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,1,1,2,4,1,3,2,5,2,4,2,3,1,4,4,4,3,3,2,2,2,5,3,NA,26,15,10,0.572359925101492,0,0,0
24,"Basel",12,"Basel","Control","Basel_12","Basel","Basel",12,"- kein Kommentar -",0,"Female",23,"Matura","Yes","Psychology","","","","Basel","1489677758407_VPN012.csv",1,5,NA,3,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,"Basel","1489677758407_VPN012.csv",1,5,"ML5_Basel_12","ML5",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,2,2,4,3,2,2,2,3,2,2,4,4,2,3,2,4,2,4,3,2,2,4,4,NA,23,13,8,-0.0732014898696505,0,0,0
25,"Basel",120,"Basel","Control","Basel_120","Basel","Basel",120,"Es ist mir nicht wirklich klar, um was es ging",0,"Female",26,"Pasarelle","Yes","Psychology","","","","Basel","1509018110021_VPN120.csv",1,2,NA,3,1,2,1,3,2,1,1,2,3,1,1,2,1,1,2,"Basel","1509018110021_VPN120.csv",1,2,"ML5_Basel_120","ML5",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,1,1,4,4,1,2,3,3,1,3,4,2,1,3,4,4,4,2,1,2,3,2,4,NA,19,19,8,-0.933950043164507,1,1,1
26,"Basel",121,"Basel","Anti","Basel_121","Basel","Basel",121,"- Mir ist nichts ungewöhnliches aufgefallen. - Es könnte um die Konzentration gehen zuerst gründlich einen Text zu lesen & dann Rechnungensaufgaben zu lösen.",0,"Female",22,"Matura","Yes","Psychology","","","","","",NA,NA,303,3,1,3,1,3,3,1,1,4,1,1,1,3,1,1,1,"Basel","1509020978340_VPN121.csv",2,9,"df.RPP_Basel_121","RPP",11,3,2,2,4,4,2,2,1,3,4,3,1,2,2,3,2,3,1,3,4,5,2,3,5,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,21,8,-1.06571882210709,0,0,0
27,"Basel",122,"Basel","Anti","Basel_122","Basel","Basel",122,"Im ersten Teil ging es vielleicht darum wie sich die vorherigen Sätze auf die Emotionen auswirken, was sie bestimmt auch getan haben. Der zweite Teil war etwas ungewöhnlich durch die Rechenaufgaben. Ich denke, dass im Endeffekt die zwei Teile natürlich zusammenhängen müssen, aber mir fällt nichts konkretes ein.",0,"Female",21,"Matura","Yes","Psychology","","","","Basel","1509025342241_VPN122.csv",1,0,NA,3,1,1,1,3,2,3,1,3,4,3,2,3,1,1,2,"Basel","1509025342241_VPN122.csv",1,0,"ML5_Basel_122","ML5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,3,1,2,3,4,1,4,2,5,1,4,4,4,2,4,4,5,4,4,2,5,4,4,5,NA,26,21,13,0.572359925101492,0,0,0
28,"Basel",123,"Basel","Anti","Basel_123","Basel","Basel",123,"Einfluss Hintergrundwissen auf Rechengeschwindigkeit",0,"Female",21,"Matura","Yes","Psychology","","","","","",NA,NA,284,2,1,1,1,2,2,1,1,1,3,1,1,4,1,1,1,"Basel","1509027906936_VPN123.csv",4,9,"df.RPP_Basel_123","RPP",13,5,5,2,2,5,1,2,3,4,4,5,2,3,5,1,2,5,1,2,4,5,3,3,4,3,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,16,8,-0.756604566899064,0,0,0
29,"Basel",124,"Basel","Anti","Basel_124","Basel","Basel",124,"Ich denke, dass es um die Zeit geht. Weil die """"""""Experimenter"""""""" eine Stoppuhr hatte. Ausserdem sah ich keine Veränderung bei den Rechnungen. Ungewöhnlich war nur, dass die Lösung erschien, aber durch Tastendruck konnte man es vermeiden. Es gab nach Lesen nur Meinungsfragen, nicht wirklich Fragen zum Text.",0,"Female",21,"Matura","Yes","Psychology","","","","","",NA,NA,319,4,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,"Basel","1509525573248_VPN124.csv",6,10,"df.RPP_Basel_124","RPP",16,2,3,5,3,5,1,1,1,1,5,1,3,1,5,3,1,1,2,3,1,3,3,2,2,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,15,8,0.78896670914106,0,0,0
30,"Basel",125,"Basel","Anti","Basel_125","Basel","Basel",125,"Ich könnte mir vorstellen dass es in der Studie etwas mit neuzutratic(?) zu tun haben könnte. Ansonsten habe ich keine Idee.",0,"Female",20,"Matura","Yes","Psychology","","","","","",NA,NA,410,3,1,1,1,2,3,1,1,1,2,1,1,3,1,1,1,"Basel","1509529636226_VPN125.csv",5,6,"df.RPP_Basel_125","RPP",11,5,3,2,5,2,2,2,3,3,2,1,2,2,3,2,1,5,1,2,4,3,1,2,4,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,16,8,0.479852453933035,1,0,0
31,"Basel",126,"Basel","Anti","Basel_126","Basel","Basel",126,"- viel um freier Wille -> Menschen -> Computer - Aber unkalr welcher Zusammenhang mit Rechnen",0,"Female",22,"Matura","Yes","Psychology","","","","Basel","1509532181430_VPN126.csv",7,10,NA,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,"Basel","1509532181430_VPN126.csv",7,10,"ML5_Basel_126","ML5",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,3,2,2,4,4,2,2,4,3,2,4,3,2,2,4,3,4,4,5,3,4,4,3,4,NA,22,9,10,-0.288388628193365,0,0,0
32,"Basel",127,"Basel","Control","Basel_127","Basel","Basel",127,"Fehler beim Rechen-Task aber darauf wurde ich schon hingewiesen. Im ersten Teil vielleicht wie ich die Sätze umformuliert habe, wie einfach/schwierig. Im zweiten Teil denke ich dinge es um Konzentration",0,"Female",19,"Matura","Yes","Psychology","","","","Basel","1509536149381_VPN127.csv",4,9,NA,4,1,4,1,3,4,1,2,3,2,1,1,1,2,1,1,"Basel","1509536149381_VPN127.csv",4,9,"ML5_Basel_127","ML5",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,2,1,4,4,3,4,3,4,2,1,4,2,2,2,2,4,1,2,2,4,2,2,3,NA,16,22,10,-1.57951145813565,0,0,0
