"g","nfc_01","nfc_02","nfc_03","nfc_04","nfc_05","nfc_06"
"MichiganStateUniversity",3,3,2,2,3,2
"MichiganStateUniversity",3,4,5,2,2,4
"MichiganStateUniversity",1,3,3,2,4,2
"MichiganStateUniversity",4,2,4,3,2,1
"MichiganStateUniversity",2,4,4,4,3,2
"MichiganStateUniversity",3,2,2,3,5,2
"MichiganStateUniversity",4,3,4,4,3,2
"MichiganStateUniversity",5,2,5,3,4,4
"MichiganStateUniversity",3,2,2,3,4,2
"MichiganStateUniversity",4,1,2,4,4,2
"MichiganStateUniversity",2,2,4,4,3,2
"MichiganStateUniversity",3,3,4,4,4,3
"MichiganStateUniversity",4,2,4,4,4,1
"MichiganStateUniversity",4,2,4,4,4,2
"MichiganStateUniversity",2,2,3,3,4,3
"MichiganStateUniversity",3,1,1,4,4,3
"MichiganStateUniversity",4,3,2,2,4,3
"MichiganStateUniversity",3,2,2,4,4,1
"MichiganStateUniversity",3,2,4,4,2,2
"MichiganStateUniversity",2,3,4,4,4,2
"MichiganStateUniversity",4,4,3,4,3,2
"MichiganStateUniversity",3,2,4,4,4,2
"MichiganStateUniversity",1,3,4,4,3,2
"MichiganStateUniversity",4,3,5,2,2,2
"MichiganStateUniversity",4,1,5,4,4,2
"MichiganStateUniversity",3,2,4,4,4,3
"MichiganStateUniversity",2,2,4,2,4,2
"MichiganStateUniversity",2,4,5,2,3,4
"MichiganStateUniversity",5,2,2,2,3,1
"MichiganStateUniversity",2,3,2,3,4,1
"MichiganStateUniversity",3,3,4,4,3,3
"MichiganStateUniversity",2,4,3,4,2,3
"MichiganStateUniversity",1,4,4,1,5,3
"MichiganStateUniversity",5,4,2,4,5,2
"MichiganStateUniversity",3,1,1,4,5,2
"MichiganStateUniversity",2,1,2,2,5,3
"MichiganStateUniversity",3,2,4,2,5,3
"MichiganStateUniversity",2,2,3,4,4,4
"MichiganStateUniversity",3,2,3,3,3,4
"MichiganStateUniversity",3,3,3,3,2,4
"MichiganStateUniversity",5,2,4,4,5,2
"MichiganStateUniversity",4,1,2,5,4,1
"MichiganStateUniversity",3,4,2,3,3,3
"MichiganStateUniversity",2,1,2,4,5,1
"MichiganStateUniversity",4,2,2,4,4,2
"MichiganStateUniversity",3,2,3,2,3,2
"MichiganStateUniversity",2,2,3,4,2,2
"MichiganStateUniversity",4,2,4,4,4,2
"MichiganStateUniversity",2,2,4,2,4,3
"MichiganStateUniversity",3,4,4,3,3,4
"MichiganStateUniversity",1,2,5,1,3,2
"MichiganStateUniversity",4,2,3,3,2,4
"MichiganStateUniversity",3,4,3,3,4,2
"MichiganStateUniversity",4,1,1,5,5,2
"MichiganStateUniversity",3,1,2,3,4,2
"MichiganStateUniversity",3,3,4,1,2,4
"MichiganStateUniversity",4,3,3,3,4,3
"MichiganStateUniversity",2,3,4,2,3,3
"MichiganStateUniversity",2,4,2,3,3,4
"MichiganStateUniversity",2,2,2,2,4,2
"MichiganStateUniversity",3,2,4,3,2,2
"MichiganStateUniversity",3,5,2,4,4,3
"MichiganStateUniversity",4,1,3,4,5,2
"MichiganStateUniversity",3,2,4,3,4,3
"MichiganStateUniversity",2,2,2,3,3,2
"MichiganStateUniversity",4,2,2,3,4,3
"MichiganStateUniversity",3,4,4,1,4,4
"MichiganStateUniversity",4,2,1,2,2,4
"MichiganStateUniversity",2,2,4,3,4,3
"MichiganStateUniversity",3,4,3,4,4,2
"MichiganStateUniversity",2,4,4,3,1,3
"MichiganStateUniversity",2,3,4,3,2,4
"MichiganStateUniversity",1,2,4,4,4,3
"MichiganStateUniversity",1,3,4,1,1,3
"MichiganStateUniversity",2,3,2,4,2,2
"MichiganStateUniversity",4,2,2,4,5,2
"MichiganStateUniversity",3,2,4,2,4,3
"MichiganStateUniversity",4,1,2,4,4,1
"MichiganStateUniversity",3,3,3,4,2,3
"MichiganStateUniversity",2,4,4,4,4,3
"MichiganStateUniversity",5,1,4,5,5,2
"MichiganStateUniversity",2,2,4,3,4,3
"MichiganStateUniversity",2,1,2,4,4,2
"MichiganStateUniversity",4,2,3,3,4,3
"MichiganStateUniversity",2,2,3,2,3,1
"MichiganStateUniversity",3,2,2,3,5,3
"MichiganStateUniversity",3,3,4,2,4,2
"MichiganStateUniversity",3,4,1,3,4,2
"MichiganStateUniversity",3,2,4,2,4,3
"MichiganStateUniversity",4,2,2,3,4,2
"MichiganStateUniversity",4,2,2,4,4,4
"MichiganStateUniversity",2,2,4,4,3,3
"MichiganStateUniversity",4,2,3,4,4,1
"MichiganStateUniversity",2,2,4,2,4,3
"MichiganStateUniversity",4,3,5,2,2,4
"MichiganStateUniversity",4,2,2,4,4,3
"MichiganStateUniversity",1,5,5,5,5,3
"MichiganStateUniversity",3,4,5,3,4,3
"MichiganStateUniversity",4,1,2,4,4,2
"MichiganStateUniversity",3,2,4,3,2,2
"MichiganStateUniversity",2,4,3,3,3,3
"MichiganStateUniversity",3,2,4,2,2,3
"MichiganStateUniversity",3,4,4,4,3,4
"MichiganStateUniversity",4,1,4,4,5,1
"MichiganStateUniversity",2,2,3,2,4,2
"MichiganStateUniversity",2,2,4,2,4,2
"MichiganStateUniversity",5,1,1,4,5,1
"MichiganStateUniversity",2,2,2,3,4,2
"MichiganStateUniversity",3,4,2,3,2,4
"MichiganStateUniversity",4,2,3,3,5,2
"MichiganStateUniversity",3,3,3,3,3,3
"MichiganStateUniversity",4,1,1,5,5,1
"MichiganStateUniversity",1,3,4,2,4,2
"MichiganStateUniversity",3,2,5,4,4,4
"MichiganStateUniversity",3,3,3,3,3,3
"MichiganStateUniversity",2,2,2,3,4,4
"MichiganStateUniversity",2,3,4,2,5,1
"MichiganStateUniversity",3,4,4,2,2,4
"MichiganStateUniversity",4,3,2,5,1,2
"MichiganStateUniversity",4,2,5,2,4,1
"MontanaStateUniversity",2,2,2,3,5,2
"MontanaStateUniversity",1,3,4,3,2,2
"MontanaStateUniversity",4,1,4,4,3,2
"MontanaStateUniversity",4,3,3,3,2,2
"MontanaStateUniversity",2,2,4,4,5,3
"MontanaStateUniversity",4,4,4,4,3,3
"MontanaStateUniversity",3,1,4,2,5,2
"MontanaStateUniversity",3,3,2,4,2,3
"MontanaStateUniversity",5,3,5,5,5,3
"MontanaStateUniversity",3,2,4,3,3,3
"MontanaStateUniversity",1,3,4,4,4,2
"MontanaStateUniversity",3,3,4,3,4,3
"MontanaStateUniversity",3,4,4,4,4,4
"MontanaStateUniversity",2,4,5,2,2,3
"MontanaStateUniversity",2,1,4,4,4,2
"MontanaStateUniversity",2,2,3,3,3,3
"MontanaStateUniversity",3,2,3,4,4,4
"MontanaStateUniversity",2,2,2,4,3,4
"MontanaStateUniversity",2,3,3,3,2,2
"MontanaStateUniversity",4,3,2,4,4,2
"MontanaStateUniversity",3,1,3,4,4,2
"MontanaStateUniversity",2,2,2,4,3,3
"MontanaStateUniversity",1,4,4,2,4,3
"MontanaStateUniversity",2,4,4,4,3,3
"MontanaStateUniversity",4,2,2,4,4,2
"MontanaStateUniversity",4,2,4,4,4,2
"MontanaStateUniversity",3,2,3,3,4,3
"MontanaStateUniversity",4,2,2,5,5,4
"MontanaStateUniversity",4,1,1,5,5,1
"MontanaStateUniversity",3,2,4,3,2,3
"MontanaStateUniversity",3,2,4,3,4,4
"MontanaStateUniversity",4,2,4,2,4,1
"MontanaStateUniversity",2,1,4,1,1,4
"MontanaStateUniversity",3,2,2,4,3,2
"MontanaStateUniversity",1,3,4,3,3,3
"MontanaStateUniversity",4,2,4,3,4,4
"MontanaStateUniversity",1,3,4,1,4,4
"MontanaStateUniversity",2,1,1,5,5,1
"MontanaStateUniversity",2,2,4,3,3,2
"MontanaStateUniversity",4,2,2,4,4,1
"MontanaStateUniversity",4,3,2,4,4,2
"MontanaStateUniversity",4,3,4,4,4,3
"MontanaStateUniversity",2,4,3,3,2,2
"MontanaStateUniversity",2,2,4,4,4,4
"MontanaStateUniversity",2,1,4,3,4,3
"MontanaStateUniversity",2,1,4,3,4,1
"MontanaStateUniversity",3,2,4,3,3,2
"MontanaStateUniversity",4,2,4,2,4,2
"MontanaStateUniversity",2,3,2,3,4,2
"MontanaStateUniversity",3,2,4,3,3,4
"MontanaStateUniversity",2,2,4,4,4,2
"MontanaStateUniversity",3,3,3,4,4,4
"MontanaStateUniversity",4,1,1,5,5,1
"MontanaStateUniversity",4,2,4,2,3,2
"MontanaStateUniversity",4,2,4,4,2,2
"MontanaStateUniversity",4,2,2,3,4,3
"MontanaStateUniversity",2,3,4,3,4,4
"MontanaStateUniversity",4,1,2,4,5,3
"MontanaStateUniversity",4,1,4,3,4,2
"MontanaStateUniversity",3,1,1,4,3,2
"MontanaStateUniversity",3,3,4,4,2,2
"MontanaStateUniversity",1,3,2,2,4,4
"MontanaStateUniversity",3,3,2,4,3,1
"MontanaStateUniversity",2,2,3,3,4,3
"MontanaStateUniversity",3,2,4,4,5,2
"MontanaStateUniversity",2,4,4,4,3,4
"MontanaStateUniversity",4,4,3,2,2,4
"MontanaStateUniversity",4,2,2,4,4,2
"MontanaStateUniversity",4,2,3,4,4,5
"MontanaStateUniversity",3,1,2,4,4,1
"MontanaStateUniversity",4,4,2,4,3,3
"MontanaStateUniversity",2,4,2,2,4,2
"MontanaStateUniversity",2,4,2,3,2,5
"MontanaStateUniversity",4,3,1,5,4,1
"MontanaStateUniversity",2,1,2,3,4,2
"MontanaStateUniversity",3,2,2,4,4,2
"MontanaStateUniversity",2,3,4,3,5,4
"MontanaStateUniversity",3,2,4,3,4,3
"MontanaStateUniversity",2,1,4,3,5,1
"MontanaStateUniversity",1,1,3,3,4,2
"MontanaStateUniversity",3,4,2,3,4,1
"MontanaStateUniversity",2,3,4,3,2,3
"MontanaStateUniversity",5,3,5,1,3,4
"MontanaStateUniversity",4,2,5,3,5,3
"MontanaStateUniversity",4,2,5,3,4,3
"MontanaStateUniversity",4,2,2,3,5,1
"MontanaStateUniversity",5,2,4,3,3,5
"MontanaStateUniversity",2,2,4,2,5,3
"MontanaStateUniversity",3,2,4,4,4,2
"MontanaStateUniversity",4,2,3,4,4,1
"MontanaStateUniversity",3,2,3,3,2,2
"MontanaStateUniversity",3,4,4,4,4,3
"MontanaStateUniversity",3,2,1,4,4,3
"MontanaStateUniversity",3,4,2,3,3,3
"MontanaStateUniversity",3,4,4,2,4,3
"MontanaStateUniversity",4,4,1,4,3,2
"MontanaStateUniversity",4,2,3,4,4,2
"MontanaStateUniversity",3,4,4,4,4,3
"MontanaStateUniversity",3,2,3,3,4,2
"MontanaStateUniversity",3,1,3,4,4,2
"MontanaStateUniversity",4,4,3,3,4,2
"MontanaStateUniversity",3,2,3,4,5,4
"MontanaStateUniversity",3,4,3,3,3,2
"MontanaStateUniversity",3,2,4,4,2,1
"MontanaStateUniversity",4,3,4,3,3,2
"MontanaStateUniversity",4,2,4,3,3,4
"MontanaStateUniversity",2,1,1,4,4,2
"MontanaStateUniversity",3,2,3,4,5,2
"MontanaStateUniversity",3,4,4,2,2,2
"MontanaStateUniversity",4,2,2,4,4,3
"MontanaStateUniversity",4,1,4,3,5,2
"MontanaStateUniversity",3,2,3,4,4,2
"MontanaStateUniversity",2,3,2,4,4,3
"MontanaStateUniversity",2,2,3,2,4,2
"MontanaStateUniversity",2,4,4,3,2,1
"MontanaStateUniversity",2,2,2,4,5,2
"MontanaStateUniversity",3,2,4,3,4,4
"MontanaStateUniversity",4,2,2,3,5,2
"MontanaStateUniversity",2,3,2,4,3,2
"MontanaStateUniversity",2,4,3,3,4,4
"MontanaStateUniversity",4,2,3,4,4,3
"MontanaStateUniversity",4,2,2,4,2,2
"MontanaStateUniversity",2,4,4,5,5,2
"MontanaStateUniversity",1,2,4,3,4,4
"MontanaStateUniversity",4,1,4,5,5,3
"mTurk",1,3,3,3,4,3
"mTurk",1,5,4,2,1,3
"mTurk",3,3,5,2,3,2
"mTurk",4,2,2,4,4,1
"mTurk",4,1,3,4,5,1
"mTurk",3,2,4,4,4,3
"mTurk",3,2,4,2,3,1
"mTurk",2,3,4,2,3,2
"mTurk",3,2,3,4,4,2
"mTurk",2,2,3,3,3,2
"mTurk",4,2,2,4,4,2
"mTurk",5,5,1,5,5,1
"mTurk",5,5,4,4,4,4
"mTurk",4,2,4,2,4,3
"mTurk",4,2,3,3,4,2
"mTurk",1,2,3,3,3,2
"mTurk",4,1,4,5,5,5
"mTurk",3,2,2,4,4,2
"mTurk",2,3,4,2,4,4
"mTurk",4,2,2,3,3,4
"mTurk",2,1,2,3,5,1
"mTurk",2,2,2,4,3,2
"mTurk",4,2,2,4,4,2
"mTurk",2,3,4,3,2,4
"mTurk",3,1,1,3,5,2
"mTurk",3,2,4,2,4,3
"mTurk",2,2,4,2,4,4
"mTurk",4,1,4,1,4,2
"mTurk",4,4,3,3,4,4
"mTurk",1,4,4,4,4,4
"mTurk",4,4,3,3,4,4
"mTurk",4,2,4,4,4,2
"mTurk",4,2,3,4,4,2
"mTurk",2,2,4,5,5,5
"mTurk",4,2,1,4,4,1
"mTurk",2,2,3,4,4,2
"mTurk",3,2,1,5,4,2
"mTurk",1,2,3,3,4,2
"mTurk",4,2,2,4,2,2
"mTurk",3,2,2,4,4,2
"mTurk",3,3,3,3,4,3
"mTurk",2,1,2,3,3,2
"mTurk",4,2,4,5,5,2
"mTurk",4,1,3,4,5,2
"mTurk",3,2,4,1,4,2
"mTurk",3,1,4,4,4,1
"mTurk",2,3,4,2,3,4
"mTurk",1,4,3,3,2,3
"mTurk",4,2,2,4,5,2
"mTurk",2,2,4,2,4,2
"mTurk",3,2,3,3,3,2
"mTurk",4,2,4,4,4,1
"mTurk",5,1,3,5,4,1
"mTurk",4,3,3,3,2,3
"mTurk",4,2,3,4,4,2
"mTurk",1,1,2,4,5,1
"mTurk",1,3,2,4,2,2
"mTurk",4,1,2,4,5,1
"mTurk",4,2,3,4,4,1
"mTurk",4,1,2,5,5,1
"mTurk",2,4,4,4,2,2
"mTurk",3,3,3,3,3,2
"mTurk",3,2,2,3,4,1
"mTurk",3,2,2,4,4,2
"mTurk",3,4,4,3,3,2
"mTurk",2,3,5,2,3,2
"mTurk",5,2,2,5,4,4
"mTurk",4,1,3,4,4,1
"mTurk",4,2,3,5,5,2
"mTurk",1,4,4,1,2,3
"mTurk",4,2,3,4,5,3
"mTurk",5,1,1,4,5,1
"mTurk",1,4,5,1,1,4
"mTurk",3,2,2,3,4,2
"mTurk",3,2,3,3,3,3
"mTurk",4,1,1,4,4,1
"mTurk",3,2,3,4,4,1
"mTurk",2,4,3,3,4,3
"mTurk",2,2,5,2,3,1
"mTurk",4,2,2,2,4,2
"mTurk",3,2,2,4,3,3
"mTurk",5,2,2,4,4,2
"mTurk",3,2,3,3,3,3
"mTurk",4,1,4,4,5,3
"mTurk",3,3,4,3,4,4
"mTurk",2,4,5,2,2,3
"mTurk",3,2,2,3,4,2
"mTurk",4,2,3,4,4,2
"mTurk",2,5,3,5,2,3
"mTurk",3,1,3,3,5,1
"mTurk",4,4,2,3,4,1
"mTurk",5,1,5,5,5,1
"mTurk",4,2,4,4,4,1
"mTurk",1,5,5,1,3,1
"mTurk",4,1,3,5,5,1
"mTurk",4,2,1,5,2,2
"mTurk",1,5,5,1,1,3
"mTurk",2,2,4,3,4,2
"mTurk",4,1,1,4,4,4
"mTurk",1,4,5,1,1,3
"mTurk",2,3,3,2,2,3
"mTurk",3,2,3,4,2,2
"mTurk",4,1,4,4,2,2
"mTurk",4,2,4,2,4,2
"mTurk",5,1,2,5,5,1
"mTurk",4,3,2,3,4,2
"mTurk",1,4,4,2,1,3
"mTurk",2,4,4,3,2,4
"mTurk",3,2,4,4,4,4
"mTurk",3,2,3,4,4,1
"mTurk",5,1,1,5,5,1
"mTurk",3,3,3,3,3,3
"mTurk",3,4,4,4,4,4
"mTurk",2,2,4,2,4,4
"mTurk",4,2,3,4,4,2
"mTurk",3,2,3,3,3,2
"mTurk",4,2,4,4,4,4
"mTurk",3,2,3,4,5,4
"mTurk",4,1,2,4,4,2
"mTurk",1,4,4,2,2,2
"mTurk",4,2,4,4,4,2
"mTurk",4,2,3,4,4,1
"mTurk",4,4,3,4,4,2
"mTurk",2,4,4,2,3,2
"mTurk",2,2,2,3,4,2
"mTurk",4,2,2,4,4,2
"mTurk",2,2,4,3,4,3
"mTurk",5,1,5,5,5,1
"mTurk",4,1,2,4,4,2
"mTurk",3,2,2,3,4,2
"mTurk",5,1,1,5,5,4
"mTurk",2,4,4,2,2,4
"mTurk",4,2,3,4,4,1
"mTurk",5,1,3,5,4,2
"mTurk",4,2,2,5,5,2
"mTurk",4,3,4,5,4,2
"mTurk",4,2,1,4,5,1
"mTurk",1,5,5,1,3,1
"mTurk",1,4,5,2,1,2
"mTurk",3,2,2,4,4,2
"mTurk",4,3,3,3,4,4
"mTurk",3,2,4,4,3,3
"mTurk",1,3,4,2,4,1
"mTurk",1,3,3,3,3,3
"mTurk",3,2,3,3,4,3
"mTurk",4,1,1,3,5,2
"mTurk",4,2,3,4,4,2
"mTurk",4,2,1,4,4,2
"mTurk",2,2,4,2,2,2
"mTurk",2,2,4,2,2,3
"mTurk",4,2,2,4,4,2
"mTurk",4,1,2,4,4,1
"mTurk",5,1,4,5,5,1
"mTurk",4,2,2,4,4,1
"mTurk",5,1,1,5,5,1
"mTurk",4,2,2,4,4,2
"mTurk",5,1,5,5,5,4
"mTurk",4,1,1,5,5,1
"mTurk",4,3,2,4,1,2
"mTurk",4,1,2,5,5,1
"mTurk",5,1,3,4,5,2
"mTurk",1,4,4,4,2,4
"mTurk",4,3,4,3,2,3
"mTurk",2,2,3,3,2,2
"mTurk",4,1,2,4,5,2
"mTurk",1,2,3,3,4,3
"mTurk",3,2,3,3,5,3
"mTurk",4,2,2,4,4,2
"mTurk",4,1,1,4,5,1
"mTurk",4,2,3,3,4,2
"mTurk",1,3,4,2,1,4
"mTurk",4,2,2,4,4,2
"mTurk",2,2,4,4,4,4
"mTurk",4,2,2,4,4,1
"mTurk",2,2,4,2,3,4
"mTurk",4,1,2,2,4,1
"mTurk",2,1,2,4,4,2
"mTurk",3,2,2,4,4,2
"mTurk",3,1,5,5,4,3
"mTurk",4,1,1,4,4,1
"mTurk",2,1,4,4,4,2
"mTurk",1,4,4,2,3,3
"mTurk",5,1,1,5,5,1
"mTurk",5,1,1,5,5,1
"mTurk",5,1,1,5,5,1
"mTurk",4,4,4,4,4,4
"mTurk",5,1,1,5,5,1
"mTurk",4,2,3,4,4,1
"mTurk",1,5,5,1,3,3
"mTurk",5,1,1,5,5,3
"mTurk",3,4,2,3,4,2
"mTurk",1,3,4,2,4,4
"mTurk",2,4,3,4,3,2
"mTurk",4,1,4,5,5,1
"mTurk",3,2,2,4,3,2
"mTurk",5,2,2,5,4,1
"mTurk",2,2,4,2,2,3
"mTurk",2,4,4,2,2,3
"mTurk",4,2,4,3,3,2
"mTurk",4,2,2,4,3,2
"mTurk",5,1,1,5,5,2
"mTurk",2,1,1,5,5,1
"mTurk",3,2,4,2,4,1
"mTurk",2,2,2,4,5,2
"mTurk",2,2,4,3,4,2
"mTurk",3,2,3,4,4,2
"mTurk",3,2,4,5,3,4
"mTurk",4,1,4,4,3,2
"mTurk",5,1,3,4,4,1
"mTurk",4,1,1,5,4,1
"mTurk",3,2,3,4,5,2
"mTurk",2,4,4,2,3,2
"mTurk",4,2,4,3,4,3
"mTurk",4,1,2,4,5,1
"mTurk",4,2,3,4,5,2
"mTurk",4,2,4,3,4,2
"mTurk",2,3,4,3,2,4
"mTurk",3,4,4,4,4,2
"mTurk",4,1,1,5,5,1
"mTurk",2,4,4,2,2,2
"mTurk",2,4,3,3,2,2
"mTurk",1,4,4,1,3,4
"mTurk",2,3,3,2,5,4
"mTurk",2,2,4,3,3,2
"mTurk",2,4,5,2,2,4
"mTurk",4,2,2,5,4,2
"mTurk",4,1,2,4,4,1
"mTurk",2,3,4,3,4,2
"mTurk",4,2,2,4,4,1
"mTurk",4,1,3,5,5,2
"mTurk",4,2,2,4,4,1
"mTurk",2,4,4,2,4,2
"mTurk",2,3,3,3,1,3
"mTurk",2,2,2,4,4,2
"mTurk",4,1,2,4,4,2
"mTurk",2,5,5,1,2,4
"mTurk",2,2,4,2,4,1
"mTurk",4,2,2,4,4,2
"mTurk",3,3,3,3,3,3
"mTurk",3,2,4,2,2,1
"mTurk",3,4,4,2,4,2
"mTurk",1,5,5,1,2,1
"mTurk",5,1,3,3,5,1
"mTurk",2,2,4,3,2,2
"mTurk",3,2,4,3,4,2
"mTurk",3,2,2,3,5,2
"mTurk",4,2,3,4,4,2
"mTurk",4,1,3,4,4,1
"mTurk",1,2,4,2,3,4
"mTurk",3,1,2,1,4,1
"mTurk",4,1,2,3,4,2
"mTurk",3,1,2,4,5,3
"mTurk",4,2,3,4,4,1
"mTurk",4,2,4,4,4,2
"mTurk",3,1,2,4,4,2
"mTurk",1,2,4,2,2,2
"mTurk",1,2,5,2,3,2
"mTurk",2,4,4,2,3,1
"mTurk",2,2,4,4,5,2
"mTurk",3,2,4,4,4,2
"mTurk",4,1,1,4,4,2
"mTurk",3,2,3,4,3,2
"mTurk",1,1,2,4,5,1
"mTurk",5,5,5,5,5,4
"mTurk",4,3,4,3,4,5
"mTurk",3,1,3,4,3,2
"mTurk",3,2,3,4,5,1
"mTurk",4,2,2,4,4,2
"mTurk",5,2,3,4,5,1
"mTurk",2,4,4,2,2,3
"mTurk",2,2,4,3,3,3
"mTurk",1,3,4,4,4,3
"mTurk",4,1,1,4,4,1
"mTurk",4,4,4,4,4,4
"mTurk",3,2,4,4,3,4
"mTurk",4,5,4,5,4,2
"mTurk",2,2,3,3,4,2
"mTurk",5,5,5,5,4,5
"mTurk",2,4,4,2,2,4
"mTurk",3,4,3,4,2,3
"mTurk",4,2,4,2,4,2
"mTurk",4,2,4,5,4,3
"mTurk",5,1,5,4,3,4
"mTurk",1,5,5,1,1,5
"mTurk",2,3,2,5,5,2
"mTurk",3,2,2,4,3,2
"mTurk",4,2,3,4,4,2
"mTurk",4,2,2,4,4,2
"mTurk",2,4,4,2,2,3
"mTurk",4,2,3,4,5,2
"mTurk",4,2,4,4,3,2
"mTurk",2,3,4,3,2,3
"mTurk",1,2,4,2,2,3
"mTurk",5,1,3,5,5,1
"mTurk",4,4,4,3,4,3
"mTurk",4,1,5,5,5,1
"mTurk",4,2,2,4,4,2
"mTurk",3,2,4,3,3,3
"mTurk",2,2,3,4,4,2
"mTurk",3,2,1,5,5,1
"mTurk",4,1,2,4,3,5
"mTurk",2,2,3,2,3,4
"mTurk",4,4,4,5,3,4
"mTurk",4,3,4,5,4,4
"mTurk",1,5,5,2,3,3
"mTurk",5,2,2,4,4,2
"mTurk",2,4,4,2,2,3
"mTurk",3,3,3,3,5,1
"mTurk",3,2,3,3,4,3
"mTurk",2,4,4,4,2,4
"mTurk",5,1,1,5,5,1
"mTurk",4,1,1,5,5,1
"mTurk",3,2,3,4,4,2
"mTurk",4,2,2,4,1,3
"mTurk",4,2,2,4,4,1
"mTurk",4,5,4,4,4,4
"mTurk",3,2,3,4,4,2
"mTurk",3,1,2,4,4,2
"mTurk",2,2,4,2,2,3
"mTurk",2,3,2,4,3,2
"mTurk",4,2,4,3,4,4
"mTurk",4,2,2,4,4,2
"mTurk",2,4,3,2,5,4
"mTurk",5,5,5,4,4,5
"mTurk",5,4,5,1,1,4
"mTurk",2,2,4,3,3,2
"mTurk",2,4,4,3,4,3
"mTurk",2,4,3,4,2,3
"mTurk",4,2,5,1,1,5
"mTurk",5,1,1,5,5,1
"mTurk",3,2,3,2,4,4
"mTurk",4,2,4,4,4,2
"mTurk",3,1,1,1,3,2
"mTurk",4,2,2,4,4,2
"mTurk",3,1,1,5,5,1
"mTurk",3,2,2,3,4,2
"mTurk",4,2,3,4,2,3
"mTurk",4,4,5,4,3,5
"mTurk",4,1,5,1,4,2
"mTurk",2,4,4,2,2,3
"mTurk",3,2,4,4,4,4
"mTurk",3,4,4,2,4,4
"mTurk",3,2,3,4,4,1
"mTurk",2,3,4,3,2,1
"mTurk",4,2,4,3,4,1
"mTurk",4,1,1,5,3,1
"mTurk",4,2,4,4,4,2
"mTurk",4,2,3,4,4,2
"mTurk",2,3,3,3,3,3
"mTurk",1,4,5,2,3,3
"mTurk",4,2,4,5,4,2
"mTurk",1,3,2,3,4,2
"mTurk",1,3,4,3,2,2
"mTurk",1,4,5,2,2,2
"mTurk",2,2,3,4,2,3
"mTurk",1,5,4,2,1,5
"mTurk",2,5,3,3,2,2
"mTurk",2,3,5,2,3,3
"mTurk",4,1,1,5,5,1
"mTurk",5,1,1,5,5,1
"mTurk",5,1,2,4,5,1
"mTurk",3,4,2,5,2,4
"mTurk",1,3,5,2,4,2
"mTurk",2,4,4,4,4,4
"mTurk",3,2,2,2,2,3
"mTurk",1,3,4,2,3,2
"mTurk",3,1,4,2,5,3
"mTurk",1,5,5,1,1,3
"mTurk",1,5,5,5,3,3
"mTurk",5,1,2,5,5,1
"mTurk",4,2,5,3,3,1
"mTurk",3,3,3,3,3,3
"mTurk",1,3,2,4,3,2
"mTurk",4,2,4,3,4,5
"mTurk",4,2,2,4,4,2
"mTurk",2,3,4,2,2,3
"mTurk",2,3,5,1,5,3
"mTurk",2,2,4,2,2,4
"mTurk",4,1,2,4,4,2
"mTurk",4,2,2,4,4,1
"mTurk",2,2,3,2,4,2
"mTurk",3,2,3,3,4,2
"mTurk",2,2,2,3,3,2
"mTurk",2,4,4,4,2,2
"mTurk",4,2,1,3,3,3
"mTurk",3,2,3,4,5,2
"mTurk",4,3,2,4,5,2
"mTurk",4,1,3,4,4,2
"mTurk",4,2,3,3,3,3
"mTurk",4,2,3,2,4,1
"mTurk",4,2,3,4,4,2
"mTurk",4,5,4,4,3,2
"mTurk",1,1,1,4,5,1
"mTurk",5,1,1,5,5,5
"mTurk",1,3,2,4,3,2
"mTurk",3,2,2,3,4,2
"mTurk",3,2,4,4,3,2
"mTurk",2,1,4,3,2,2
"mTurk",4,1,3,4,5,1
"mTurk",4,2,2,4,4,2
"mTurk",2,2,4,2,2,4
"mTurk",4,2,3,4,1,2
"mTurk",3,2,4,3,4,4
"mTurk",4,1,4,2,5,1
"mTurk",3,3,3,3,3,3
"mTurk",2,2,3,2,2,2
"mTurk",2,2,3,4,2,2
"mTurk",1,4,4,2,4,3
"mTurk",4,1,5,3,4,3
"mTurk",2,3,4,3,3,3
"mTurk",5,1,3,5,5,5
"mTurk",4,4,4,2,4,4
"mTurk",3,2,3,1,2,1
"mTurk",4,2,2,4,4,2
"mTurk",1,4,4,4,3,3
"mTurk",4,2,4,3,5,4
"mTurk",5,4,4,4,4,2
"mTurk",2,4,4,1,1,2
"mTurk",1,4,3,2,3,4
"mTurk",4,4,4,2,4,4
"mTurk",4,3,3,2,1,4
"mTurk",1,4,4,4,4,2
"mTurk",3,2,2,4,5,2
"mTurk",4,1,2,4,5,1
"mTurk",4,4,4,4,4,2
"mTurk",4,2,1,5,5,1
"mTurk",4,3,5,3,4,1
"mTurk",4,1,4,2,2,1
"mTurk",4,2,1,4,5,1
"mTurk",2,4,4,2,3,4
"mTurk",3,2,2,4,4,3
"mTurk",5,1,3,5,5,3
"mTurk",3,5,2,3,5,2
"mTurk",1,4,4,4,3,2
"mTurk",4,1,4,4,5,1
"mTurk",4,2,3,4,4,2
"mTurk",1,1,4,3,4,3
"mTurk",4,2,3,4,5,2
"mTurk",1,5,5,1,1,4
"mTurk",3,2,2,3,4,1
"mTurk",1,2,4,2,1,4
"mTurk",5,1,1,5,5,1
"mTurk",5,1,1,5,5,1
"mTurk",4,2,2,4,4,2
"mTurk",2,1,3,2,1,2
"mTurk",2,2,4,3,4,2
"mTurk",5,1,1,5,5,5
"mTurk",3,2,3,4,4,2
